"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"T81.PL1.rpoB" "T81" "SBL-01-03-A" "SBL" "1" "3" "Acer_rubrum" "A" "43271" "JBL" "43272" "Phosphate" "2" "2" "30" "SBL-43272-2" "Batch_04" "T81.PL1.rpoB" "PL_05" "rpoB-PL1" "S515" "N723"
"T86.PL1.rpoB" "T86" "MSH-04-02-C" "MSH" "4" "2" "Acer_saccharum" "C" "43318" "JBL" "43319" "Phosphate" "2" "12" "45" "MSH-43319-2" "Batch_04" "T86.PL1.rpoB" "PL_01" "rpoB-PL1" "S522" "N726"
"T87.PL1.rpoB" "T87" "SBL-02-04-A" "SBL" "2" "4" "Acer_saccharum" "A" "43271" "JBL" "43273" "Phosphate" "3" "2" "49" "SBL-43273-3" "Batch_04" "T87.PL1.rpoB" "PL_01" "rpoB-PL1" "S520" "N724"
"T89.PL1.rpoB" "T89" "MSH-04-04-C" "MSH" "4" "4" "Ostria_virginiana" "C" "43318" "JBL" "43320" "Phosphate" "3" "12" "58" "MSH-43320-3" "Batch_04" "T89.PL1.rpoB" "PL_05" "rpoB-PL1" "S517" "N723"
"T92.PL1.rpoB" "T92" "MSH-05-03-G" "MSH" "5" "3" "Acer_saccharum" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "3" "14" "70" "MSH-43392-3" "Batch_04" "T92.PL1.rpoB" "PL_01" "rpoB-PL1" "S522" "N727"
"T94.PL1.rpoB" "T94" "SBL-02-02-G" "SBL" "2" "2" "Acer_rubrum" "G" "43363" "JBL" "43364" "Phosphate" "3" "8" "75" "SBL-43364-3" "Batch_04" "T94.PL1.rpoB" "PL_01" "rpoB-PL1" "S520" "N727"
"T97.PL1.rpoB" "T97" "MSH-03-03-C" "MSH" "3" "3" "Acer_saccharum" "C" "43318" "JBL" "43319" "Phosphate" "1" "12" "03" "MSH-43319-1" "Batch_05" "T97.PL1.rpoB" "PL_01" "rpoB-PL1" "S521" "N724"
"T98.PL1.rpoB" "T98" "SBL-01-07-G" "SBL" "1" "7" "Acer_pennsylcanicum" "G" "43363" "JBL" "43364" "Phosphate" "1" "8" "06" "SBL-43364-1" "Batch_05" "T98.PL1.rpoB" "PL_01" "rpoB-PL1" "S522" "N723"
"T100.PL2.rpoB" "T127" "SBL-02-03-A" "SBL" "2" "3" "Fagus_grandifolia" "A" "43271" "JBL" "43272" "Phosphate" "2" "2" "24" "SBL-43272-2" "Batch_06" "T127.PL2.rpoB" "PL_02" "rpoB-PL2" "S521" "N724"
"T106.PL2.rpoB" "T106" "MSH-04-03-E" "MSH" "4" "3" "Acer_saccharum" "E" "43350" "JBL" "43351" "Phosphate" "2" "10" "34" "MSH-43351-2" "Batch_05" "T106.PL2.rpoB" "PL_02" "rpoB-PL2" "S516" "N729"
