"Type" "ASVs-before-TH" "Seq-before-TH" "ASVs-before-raref" "Seq-before-raref" "ASVs-final" "Seq-final"
"T112" "sample" "1150" "18743" "296" "15009" "222" "3000"
"T113" "sample" "769" "18538" "266" "14767" "239" "3000"
"T118" "sample" "1280" "17527" "327" "12157" "278" "3000"
"T134" "sample" "1253" "19859" "310" "16400" "250" "3000"
"T135" "sample" "522" "15205" "215" "13805" "167" "3000"
"T136" "sample" "176" "17663" "88" "15256" "81" "3000"
"T13" "sample" "571" "16111" "247" "13694" "217" "3000"
"T149" "sample" "584" "20795" "221" "16049" "206" "3000"
"T14" "sample" "1112" "24227" "337" "17943" "290" "3000"
"T162" "sample" "1020" "15930" "224" "7776" "170" "3000"
"T164" "sample" "1399" "16826" "305" "12074" "249" "3000"
"T167" "sample" "1138" "19206" "331" "14942" "267" "3000"
"T172" "sample" "1437" "16126" "364" "12194" "288" "3000"
"T173" "sample" "421" "16438" "150" "12705" "143" "3000"
"T179" "sample" "739" "18842" "242" "16401" "203" "3000"
"T185" "sample" "894" "12983" "308" "10608" "252" "3000"
"T187" "sample" "2203" "19410" "442" "13975" "351" "3000"
"T188" "sample" "1146" "13828" "334" "11508" "255" "3000"
"T189" "sample" "453" "15857" "164" "11987" "156" "3000"
"T191" "sample" "1226" "19495" "294" "14645" "227" "3000"
"T193" "sample" "1158" "18754" "311" "15895" "233" "3000"
"T196" "sample" "1592" "15515" "347" "11298" "278" "3000"
"T201" "sample" "1686" "24806" "351" "15874" "292" "3000"
"T207" "sample" "1407" "15390" "351" "11438" "287" "3000"
"T208" "sample" "883" "18860" "240" "15250" "203" "3000"
"T20" "sample" "392" "15706" "157" "11418" "132" "3000"
"T213" "sample" "835" "14715" "228" "11000" "199" "3000"
"T219" "sample" "510" "17624" "184" "15630" "160" "3000"
"T221" "sample" "1207" "10408" "353" "8231" "299" "3000"
"T224" "sample" "705" "17491" "241" "13929" "198" "3000"
"T226" "sample" "176" "19024" "118" "17495" "109" "3000"
"T228" "sample" "634" "17738" "197" "13957" "173" "3000"
"T42" "sample" "118" "15173" "82" "14764" "63" "3000"
"T50" "sample" "1048" "15161" "313" "11983" "258" "3000"
"T56" "sample" "1223" "20507" "307" "17111" "241" "3000"
"T57" "sample" "1828" "20269" "439" "15698" "318" "3000"
"T61" "sample" "1543" "17464" "412" "13909" "318" "3000"
"T62" "sample" "395" "16573" "163" "13023" "146" "3000"
"T66" "sample" "455" "14444" "198" "11221" "180" "3000"
"T74" "sample" "1470" "17983" "386" "14117" "327" "3000"
"T78" "sample" "1739" "17128" "411" "13016" "333" "3000"
"T82" "sample" "882" "20528" "277" "18314" "197" "3000"
"T90" "sample" "1558" "23596" "390" "19426" "292" "3000"
