"log(Level)" "Level" "(-log10(1.005-PS))" "PS"
6.3261 559 0.5466 0.721
6.3279 560 0.5454 0.7201
6.3297 561 0.5441 0.7193
6.3315 562 0.5429 0.7185
6.3333 563 0.5417 0.7177
6.3351 564 0.5404 0.7169
6.3368 565 0.5392 0.7161
6.3386 566 0.5379 0.7152
6.3404 567 0.5367 0.7144
6.3421 568 0.5355 0.7136
6.3439 569 0.5343 0.7128
6.3456 570 0.533 0.7119
6.3474 571 0.5318 0.7111
6.3491 572 0.5306 0.7103
6.3509 573 0.5294 0.7095
6.3526 574 0.5282 0.7086
6.3544 575 0.5269 0.7078
6.3561 576 0.5257 0.707
6.3578 577 0.5245 0.7061
6.3596 578 0.5233 0.7053
6.3613 579 0.5221 0.7045
6.363 580 0.5209 0.7036
6.3648 581 0.5197 0.7028
6.3665 582 0.5185 0.702
6.3682 583 0.5173 0.7011
6.3699 584 0.5161 0.7003
6.3716 585 0.5149 0.6995
6.3733 586 0.5137 0.6986
6.375 587 0.5125 0.6978
6.3767 588 0.5114 0.6969
6.3784 589 0.5102 0.6961
6.3801 590 0.509 0.6952
6.3818 591 0.5078 0.6944
6.3835 592 0.5066 0.6936
6.3852 593 0.5054 0.6927
6.3869 594 0.5043 0.6919
6.3886 595 0.5031 0.691
6.3902 596 0.5019 0.6902
6.3919 597 0.5008 0.6893
6.3936 598 0.4996 0.6885
6.3953 599 0.4984 0.6876
6.3969 600 0.4973 0.6868
6.3986 601 0.4961 0.6859
6.4003 602 0.4949 0.6851
6.4019 603 0.4938 0.6842
6.4036 604 0.4926 0.6834
6.4052 605 0.4915 0.6825
6.4069 606 0.4903 0.6816
6.4085 607 0.4892 0.6808
6.4102 608 0.488 0.6799
6.4118 609 0.4869 0.6791
6.4135 610 0.4857 0.6782
6.4151 611 0.4846 0.6774
6.4167 612 0.4835 0.6765
6.4184 613 0.4823 0.6756
6.42 614 0.4812 0.6748
6.4216 615 0.48 0.6739
6.4232 616 0.4789 0.673
6.4249 617 0.4778 0.6722
6.4265 618 0.4767 0.6713
6.4281 619 0.4755 0.6704
6.4297 620 0.4744 0.6696
6.4313 621 0.4733 0.6687
6.4329 622 0.4722 0.6678
6.4345 623 0.471 0.667
6.4362 624 0.4699 0.6661
6.4378 625 0.4688 0.6652
6.4394 626 0.4677 0.6643
6.4409 627 0.4666 0.6635
6.4425 628 0.4655 0.6626
6.4441 629 0.4643 0.6617
6.4457 630 0.4632 0.6608
6.4473 631 0.4621 0.66
6.4489 632 0.461 0.6591
6.4505 633 0.4599 0.6582
6.452 634 0.4588 0.6573
6.4536 635 0.4577 0.6564
6.4552 636 0.4566 0.6556
6.4568 637 0.4555 0.6547
6.4583 638 0.4544 0.6538
6.4599 639 0.4533 0.6529
6.4615 640 0.4523 0.652
6.463 641 0.4512 0.6511
6.4646 642 0.4501 0.6503
6.4661 643 0.449 0.6494
6.4677 644 0.4479 0.6485
6.4693 645 0.4468 0.6476
6.4708 646 0.4458 0.6467
6.4723 647 0.4447 0.6458
6.4739 648 0.4436 0.6449
6.4754 649 0.4425 0.644
6.477 650 0.4414 0.6431
6.4785 651 0.4404 0.6422
6.48 652 0.4393 0.6413
6.4816 653 0.4382 0.6404
6.4831 654 0.4372 0.6395
