"L-44" "L-45" "L-46" "L-48" "L-50" "L-51" "L-52" "L-55" "L-56" "L-57" "L-58" "L-61" "L-65" "L-74" "L-75" "L-76" "L-78" "L-79" "L-82" "L-83" "L-84" "L-85" "L-86" "L-89" "L-90" "L-96" "L-97" "L-100" "L-104" "L-105" "L-106" "L-107" "L-110" "L-111" "L-122" "L-137" "L-138" "L-139" "L-153" "L-157" "L-165" "L-166" "L-167" "L-175" "L-176" "L-185" "L-187" "L-190" "L-192" "L-194" "L-195" "L-196" "L-197" "L-199" "L-205" "L-206" "L-225" "L-226" "L-227" "L-228" "L-271" "L-307"
"Fac" 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91
"Nodes" 83 78 69 68 68 65 59 58 56 51 49 48 47 44 43 42 40 39 39 37 36 35 34 33 32 31 30 29 28 26 25 24 24 23 23 22 21 20 19 18 17 16 15 15 14 14 14 14 13 12 11 11 10 9 8 7 6 5 4 3 2 1
"R2 HOST:DAY" 0.0190541200427831 0.0196009645049533 0.0210896864692058 0.0208099534295145 0.0208099534295145 0.0208818126290809 0.0207571954590293 0.0207303882361305 0.0207904786247905 0.0218442285002361 0.0223072640134997 0.0235203866575824 0.0230510393722337 0.0209135986932133 0.0209135986932133 0.0216097763483988 0.0267117539782277 0.0267283216794518 0.0267283216794518 0.0254700486732577 0.023565049008736 0.0233591320025413 0.0205887346706889 0.0169135610395689 0.0176272522854775 0.0178700274998472 0.0178879246498068 0.0178914643531314 0.0162144357406467 0.0179737978480295 0.0180267836797599 0.0184212827060958 0.0184212827060958 0.018425054667146 0.018425054667146 0.0189968015459239 0.0192916178920598 0.021574956850556 0.0243924775662707 0.0242325359461829 0.0243796911149841 0.0244262362055051 0.0218336285506752 0.0218336285506752 0.0222266783749516 0.0222266783749516 0.0222266783749516 0.0222266783749516 0.0217004523145798 0.0221256204904226 0.0210492703416311 0.0210492703416311 0.0213984119595042 0.0210013004595829 0.0161189027930879 0.0189580387845413 0.0301600988532015 0.0309530387202506 0.0341402797294278 0.0345925345713857 0.0351656610223365 0.0978392322414514
"R2 TEMP:DAY" 0.0136885417815774 0.013344890197022 0.0150219169931328 0.0146304680034741 0.0146304680034741 0.0144727778954874 0.0164526931363355 0.0164740224408535 0.0162556505548085 0.0179574236184603 0.0200784052746089 0.0195650511873635 0.0181403209934944 0.0173246905969002 0.0173246905969002 0.017350518666157 0.0180052249917528 0.0180080717402211 0.0180080717402211 0.0214489769241066 0.00925616839849644 0.00913957599659779 0.0090491542264256 0.00954452363781159 0.0104606184429535 0.0109591923606873 0.0109701681865005 0.0109723389883996 0.007811375153098 0.00792427738894359 0.00788104956283901 0.00850528373814783 0.00850528373814783 0.00850702528891245 0.00850702528891245 0.0107207415397505 0.0105808491866123 0.00961096330141351 0.0100063485232183 0.00973102727794824 0.00979012018365467 0.0097932889013776 0.00978868185863689 0.00978868185863689 0.00977251715563775 0.00977251715563775 0.00977251715563775 0.00977251715563775 0.00980760320429351 0.0100784015885741 0.00882256817674815 0.00882256817674815 0.0081816892106809 0.00930246344457397 0.0074568349308504 -0.000908922689919419 0.00315992191209554 -0.00178625090658661 -0.00277712370174779 -0.00281391214199448 0.0159815932369377 0.00688092767209097
"R2 SITE:HOST:TEMP" 0.0199083254389923 0.0197487887790646 0.022361633610208 0.0237669958799378 0.0237669958799378 0.0242682380075795 0.0261045440863665 0.026382237712904 0.0266143457881755 0.0256595122474036 0.0253638220223309 0.0255754441504546 0.0253417131701311 0.0275099509352983 0.0275099509352983 0.0270542363881366 0.0270280609388871 0.0270323342590546 0.0270323342590546 0.0276190338694291 0.0278924962057011 0.0279455840019979 0.0277064330023278 0.0277282874900576 0.0286485513482571 0.0287845133237244 0.0288133415251063 0.0288190431748386 0.0292410246796952 0.026951864694943 0.0269494839208602 0.0269793916080265 0.0269793916080265 0.0269849159363769 0.0269849159363769 0.0257029356984869 0.0256640316459343 0.0252498212160356 0.0266437582164552 0.0269571126203046 0.0271208131288624 0.0271295911826156 0.0276644705794794 0.0276644705794794 0.0269289038169953 0.0269289038169953 0.0269289038169953 0.0269289038169953 0.0288384792669495 0.0286604559683808 0.0306509355705423 0.0306509355705423 0.0290845130243209 0.028383505825099 0.0257677241308577 0.0302101594474563 0.031214169112699 0.0311810094137819 0.013410719250068 0.0135883704809029 0.0232967049936218 0.0077547269935742
"R2 SITE:HOST:DAY" 0.0141338194305629 0.0148136989316536 0.0151364699986303 0.0144008728450623 0.0144008728450623 0.0144505946204371 0.0157615431241752 0.0157514105095408 0.0162314700724308 0.0176799882604854 0.017634169677879 0.0176679184286827 0.0182084311885701 0.0155603436070762 0.0155603436070762 0.0136285016452108 0.0132034699519961 0.0132055575103509 0.0132055575103509 0.01458896235131 0.0137576767457277 0.0142663986373966 0.0132411231519083 0.012251931543004 0.0142961508247157 0.0144095036465792 0.0144239350204317 0.0144267892615886 0.0126765382066542 0.0109696737949709 0.0109235728777199 0.0106117030643972 0.0106117030643972 0.0106138759277788 0.0106138759277788 0.0109714726388471 0.0118356456075526 0.00947519147098843 0.00866810442870887 0.00858546026438052 0.00863759656811883 0.00864039225446541 0.00872730118745087 0.00872730118745087 0.00889727269572845 0.00889727269572845 0.00889727269572845 0.00889727269572845 0.0104162995377627 0.0102972173775709 0.00999199468900414 0.00999199468900414 0.011106107993659 0.00709270328589339 0.011403343119794 0.0104084304818757 0.0206512428567597 0.0207474646410082 0.0208828800680574 0.0211595146972888 0.0233517695909153 0.00168328120150707
"R2 SITE:TEMP:DAY" 0.0101913841576129 0.00941075977502477 0.0107395936711296 0.00997789796242679 0.00997789796242679 0.0100070829757221 0.00766198434154257 0.00765949595551066 0.00770866098092784 0.00727106329422659 0.0083630311322842 0.00836255752303497 0.00845740498680102 0.00841239851396472 0.00841239851396472 0.0086744519448582 0.00918974612706907 0.00919119908840241 0.00919119908840241 0.00545036612844365 0.00546361648634977 0.00529942915153958 0.00539331538367684 0.00553224081837613 0.00562895942364035 0.00584109512994326 0.00584694509046903 0.00584810209729798 0.00634053915942329 0.00519911050256495 0.00507757620700116 0.00595752559307286 0.00595752559307286 0.00595874546222368 0.00595874546222368 0.00717829998672268 0.00713756703107818 0.00680225583582769 0.00517418358764807 0.00496394632023794 0.00499409051811707 0.00499570692964602 0.00504595598616758 0.00504595598616758 0.00491544697721594 0.00491544697721594 0.00491544697721594 0.00491544697721594 0.00578216262459524 0.0055084790493917 0.00497250437640516 0.00497250437640516 0.00482134346254542 0.00415339000382246 0.00684843734582043 0.0126570103125846 0.000954451280277589 0.0013954157523681 0.00144205774626956 0.00146116062425714 0.0001907767378719 0.00127757780968979
"R2 HOST:TEMP:DAY" 0.0123328409228439 0.0117978745662304 0.0117862838793039 0.0118508144706864 0.0118508144706864 0.011883621181802 0.0114548783905391 0.011483368718767 0.0111414166302834 0.0110149870295992 0.0124576077523022 0.0138903288966048 0.0139873408073716 0.0103020443655758 0.0103020443655758 0.00997009387384729 0.0102298707660131 0.0102314881781225 0.0102314881781225 0.0104891067819952 0.0151320790401814 0.015643260968826 0.0191866754435378 0.0191374626046191 0.0192646126633126 0.0193968221948239 0.0194162484567903 0.0194200905883153 0.0203455706826365 0.0209811914260162 0.0210140889541043 0.020895265905151 0.020895265905151 0.0208995444415801 0.0208995444415801 0.0228110230286711 0.0223643960005919 0.0237436515073023 0.0233486808710565 0.0227595752551377 0.0228977856820593 0.0229051968902922 0.0231355876136449 0.0231355876136449 0.0227748616171989 0.0227748616171989 0.0227748616171989 0.0227748616171989 0.0245333373866894 0.0247373097227612 0.0258747943373026 0.0258747943373026 0.0268114926376727 0.0280414006735493 0.0291345576758225 0.0266716096742036 0.0148299869885356 0.021850725141718 0.0250768471580229 0.0254090390919535 0.0182184814456093 0.00645580080604905
"R2 SITE:HOST:TEMP:DAY" 0.0107588800250339 0.0101336317192935 0.00832375558040274 0.00841293105611302 0.00841293105611302 0.00843810710955325 0.00794598415419688 0.00796107636917565 0.00800115928328646 0.00883978653271147 0.00817054897899905 0.0085160292922562 0.00816123289585021 0.00912679920782349 0.00912679920782349 0.00868192617035862 0.0089864222707898 0.00898784308523925 0.00898784308523925 0.00912133712104249 0.00913801721345088 0.00920704194582394 0.00887861725934145 0.00885283239338857 0.00997807781800914 0.0100416580084844 0.010051714907346 0.0100537039636156 0.0119913470594823 0.0128039152539623 0.0127765294673565 0.0129207419589812 0.0129207419589812 0.012923387623574 0.012923387623574 0.0138420200408326 0.0131571496058444 0.0174713854166103 0.0156941038580516 0.0154190723851473 0.0155127066710772 0.0155177275888635 0.0156738118391369 0.0156738118391369 0.0155080959097521 0.0155080959097521 0.0155080959097521 0.0155080959097521 0.0127239337179703 0.0125273315679577 0.0130716529168176 0.0130716529168176 0.0151388243952159 0.0203235815489732 0.00739792652462095 0.00544312386415985 0.00750591044710668 0.00707774738482708 0.00776034863569917 0.00786314964593081 0.0104106155305514 0.000375126211678734
"R2 Residuals" 0.67032279955481 0.665968699482703 0.650529561928206 0.64782998192487 0.64782998192487 0.647048236020621 0.647239126237984 0.645467762943587 0.644081049886204 0.638674369079808 0.6274419918014 0.628171147946041 0.62789190728071 0.629137775270349 0.629137775270349 0.631060438508134 0.6240583119478 0.624156979809183 0.624156979809183 0.619288753877839 0.613305031008595 0.613985414114679 0.617969751278499 0.618808409227538 0.607796850259761 0.602060354417937 0.602663328557054 0.602782584950932 0.603481212745634 0.609706870964661 0.60965823110843 0.608242616768072 0.608242616768072 0.608367161160345 0.608367161160345 0.599176942208293 0.599870633407162 0.590577442676306 0.590681107268582 0.591325339763082 0.594916238395504 0.595108791867055 0.6010946624836 0.6010946624836 0.60183541469398 0.60183541469398 0.60183541469398 0.60183541469398 0.602533451441766 0.602652643844013 0.598089007786016 0.598089007786016 0.591599189689345 0.585036341191674 0.573827440776811 0.582772975629172 0.571998090204994 0.578237551568414 0.547699299013057 0.55495464846768 0.62804742532425 0.654533120979315
"R2 Total" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Pr(>F) SITE" 0.0002999700029997 9.99900009999e-05 0.0001999800019998 0.0001999800019998 0.0001999800019998 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 0.0001999800019998 9.99900009999e-05 0.0001999800019998 9.99900009999e-05 0.0002999700029997 0.0001999800019998 0.0004999500049995 0.0004999500049995 0.0010998900109989 0.0002999700029997 0.0015998400159984 0.0026997300269973 0.0016998300169983 0.001999800019998 0.000999900009999 0.0007999200079992 0.0010998900109989 0.0007999200079992 0.0003999600039996 0.0050994900509949 0.0046995300469953 0.0022997700229977 0.0018998100189981 0.0022997700229977 0.0034996500349965 0.0010998900109989 0.0018998100189981 0.0007999200079992 0.0010998900109989 0.0007999200079992 0.0005999400059994 0.0011998800119988 0.0006999300069993 0.0005999400059994 0.0006999300069993 0.0006999300069993 0.0003999600039996 0.0012998700129987 0.0008999100089991 0.0005999400059994 0.0003999600039996 0.0004999500049995 0.0001999800019998 9.99900009999e-05 9.99900009999e-05 0.0020997900209979 9.99900009999e-05 0.0003999600039996 0.0001999800019998 0.0012998700129987 0.235676432356764 0.0940905909409059
