"mean_seq" "max_seq" "min_seq" "seq_or_node" "level" "mother_node" "mother_level"
98.25 99.5 97 435 45 434 107
104.5 105 104 440 45 439 104
106.5 107 106 441 45 439 104
109.5 110 109 445 45 444 82
116.75 117.5 116 454 45 453 51
119.5 120 119 456 45 453 51
121.5 122 121 457 45 452 56
127 130 124 459 45 458 48
136.5 137 136 467 45 466 86
138.5 139 138 468 45 465 87
140.5 141 140 469 45 464 88
146.75 147.5 146 476 45 475 67
177.5 181 174 493 45 492 50
182.5 183 182 494 45 490 56
186 188 184 495 45 486 156
195.5 196 195 502 45 501 122
211 215 207 510 45 509 82
219 222 216 511 45 509 82
223.5 224 223 512 45 509 82
233.5 234 233 518 45 517 56
243.5 244 243 523 45 505 86
261.5 262 261 542 45 541 78
276.75 277.5 276 556 45 555 76
285.5 286 285 561 45 549 97
306.5 307 306 579 45 578 173
327.75 328.5 327 600 45 599 70
330.5 331 330 602 45 599 70
332.5 333 332 603 45 595 126
345.5 346 345 612 45 611 46
348.5 349 348 619 45 618 223
351.5 352 351 624 45 623 210
355.5 356 355 626 45 621 221
368.5 369 368 637 45 636 264
370.5 371 370 638 45 636 264
85.0833333333333 86.1666666666667 84 429 46 428 104
344.75 345.5 344 611 46 376 307
125 127 123 458 48 450 196
171.5 177.5 168 492 50 491 51
193.5 194 193 500 50 499 51
238 240 236 521 50 520 51
25.5 26 25 396 51 395 72
169.25 171.5 167 491 51 490 56
192.75 193.5 192 499 51 498 52
236.5 238 235 520 51 519 65
241.5 242 241 522 51 519 65
273.5 274 273 553 51 552 52
280 281 279 558 51 554 86
283.5 284 283 560 51 559 82
342.5 343 342 610 51 609 207
118.125 119.5 116.75 453 51 452 56
191.875 192.75 191 498 52 497 187
272.75 273.5 272 552 52 551 90
156.5 158 155 481 53 479 61
63.5 64 63 420 55 419 56
65.5 66 65 421 55 419 56
56.625 65.5 49 419 56 418 57
226.5 227 226 514 56 513 57
232.75 233.5 232 517 56 516 58
119.8125 121.5 118.125 452 56 451 65
175.875 182.5 169.25 490 56 489 57
170.9375 175.875 166 489 57 488 61
225.75 226.5 225 513 57 509 82
62.0625 67.5 56.625 418 57 417 76
231.875 232.75 231 516 58 507 84
152.5 154 151 480 60 479 61
167.96875 170.9375 165 488 61 487 65
301.5 302 301 575 61 568 154
154.5 156.5 152.5 479 61 470 115
113.5 114 113 447 65 442 111
117.40625 119.8125 115 451 65 450 196
165.984375 167.96875 164 487 65 486 156
267.5 268 267 546 65 545 70
239 241.5 236.5 519 65 507 84
145.875 146.75 145 475 67 474 78
27.5 28 27 397 70 395 72
266.75 267.5 266 545 70 531 225
290.5 291 290 565 70 564 82
329.125 330.5 327.75 599 70 596 123
26.5 27.5 25.5 395 72 385 96
69.5 70 69 424 74 423 75
189.5 190 189 496 74 448 199
325.5 326 325 598 74 597 97
70.5 71.5 69.5 423 75 417 76
275.875 276.75 275 555 76 554 86
66.28125 70.5 62.0625 417 76 416 93
5.625 7.5 4 653 78 377 93
144.9375 145.875 144 474 78 473 79
229 230 228 515 78 508 83
249.5 251 248 527 78 526 79
255.5 256 255 538 78 537 82
257.5 258 257 539 78 537 82
260.75 261.5 260 541 78 540 128
143.96875 144.9375 143 473 79 472 88
248.25 249.5 247 526 79 524 166
35.5 36 35 650 82 649 83
108.75 109.5 108 444 82 443 110
282.75 283.5 282 559 82 551 90
289.75 290.5 289 564 82 563 83
219.8125 225.75 211 509 82 508 83
256.5 257.5 255.5 537 82 536 84
34.75 35.5 34 649 83 400 175
288.875 289.75 288 563 83 562 84
224.40625 229 219.8125 508 83 507 84
20.75 21.5 20 392 84 391 85
23.5 24 23 394 84 391 85
211.628125 239 200 507 84 506 85
255.25 256.5 254 536 84 535 90
287.9375 288.875 287 562 84 548 179
205.3140625 211.628125 199 506 85 505 86
22.125 23.5 20.75 391 85 390 86
20.5625 22.125 19 390 86 388 87
134.1 136.5 132 466 86 465 87
224.40703125 243.5 205.3140625 505 86 504 167
277.9375 280 275.875 554 86 551 90
149.5 150 149 478 87 472 88
19.03125 20.5625 17.5 388 87 386 89
136.3 138.5 134.1 465 87 464 88
138.4 140.5 136.3 464 88 463 129
146.734375 149.5 143.96875 472 88 471 89
144.3671875 146.734375 142 471 89 470 115
16.765625 19.03125 14.5 386 89 385 96
111.5 112 111 446 90 443 110
161.5 162 161 484 90 482 149
197.5 198 197 503 90 501 122
254.125 255.25 253 535 90 534 192
274.8875 282.75 270 551 90 550 93
299.5 300 299 574 90 573 93
4.3125 5.625 3 377 93 378 154
31.75 32.5 31 651 93 399 170
271.94375 274.8875 269 550 93 549 97
298.75 299.5 298 573 93 572 94
70.890625 75.5 66.28125 416 93 415 137
297.875 298.75 297 572 94 571 95
296.9375 297.875 296 571 95 570 97
21.6328125 26.5 16.765625 385 96 384 97
264.5 265 264 544 97 543 223
295.96875 296.9375 295 570 97 569 153
324.75 325.5 324 597 97 596 123
25.56640625 29.5 21.6328125 384 97 383 98
278.721875 285.5 271.94375 549 97 548 179
18.783203125 25.56640625 12 383 98 382 100
14.8916015625 18.783203125 11 382 100 381 104
12.44580078125 14.8916015625 10 381 104 380 110
86.5277777777778 91.5 83 428 104 415 137
105.5 106.5 104.5 439 104 438 105
104.25 105.5 103 438 105 437 106
103.125 104.25 102 437 106 434 107
100.6875 103.125 98.25 434 107 413 139
10.722900390625 12.44580078125 9 380 110 379 157
110.125 111.5 108.75 443 110 442 111
111.8125 113.5 110.125 442 111 412 144
335.5 336 335 606 114 605 165
149.43359375 154.5 144.3671875 470 115 463 129
196.5 197.5 195.5 501 122 497 187
326.9375 329.125 324.75 596 123 595 126
329.71875 332.5 326.9375 595 126 594 167
259.875 260.75 259 540 128 534 192
143.916796875 149.43359375 138.4 463 129 462 150
359.5 360 359 629 135 628 141
78.7092013888889 86.5277777777778 70.890625 415 137 414 138
74.0697337962963 95.5 48 414 138 413 139
87.3786168981482 100.6875 74.0697337962963 413 139 412 144
358.75 359.5 358 628 141 627 177
99.5955584490741 111.8125 87.3786168981482 412 144 411 145
59.3988896122685 99.5955584490741 45 411 145 410 146
51.6994448061343 59.3988896122685 44 410 146 409 205
159.5 160 159 483 148 482 149
160.5 161.5 159.5 482 149 462 150
152.2083984375 160.5 143.916796875 462 150 461 184
294.984375 295.96875 294 569 153 568 154
3.15625 4.3125 2 378 154 379 157
39.5 40 39 648 154 647 162
298.2421875 301.5 294.984375 568 154 567 176
