"test" "ass." "obs" "exp" "p.obs>exp"
"169" "temp" "20_node.420" "0" "0.68±0.66" "1"
"170" "temp" "30_node.420" "2" "1.32±0.66" "1"
"171" "temp" "20_node.421" "0" "0.68±0.66" "1"
"172" "temp" "30_node.421" "2" "1.32±0.66" "1"
"173" "temp" "20_node.422" "0" "0.6±0.64" "1"
"174" "temp" "30_node.422" "2" "1.4±0.64" "1"
"175" "temp" "20_node.424" "0" "0.79±0.69" "1"
"176" "temp" "30_node.424" "2" "1.21±0.69" "1"
"177" "temp" "20_node.425" "0" "0.35±0.48" "1"
"178" "temp" "30_node.425" "1" "0.65±0.48" "1"
"179" "temp" "20_node.426" "0" "3.02±1.39" "1"
"180" "temp" "30_node.426" "10" "6.98±1.39" "1"
"181" "temp" "20_node.428" "0" "0.36±0.48" "1"
"182" "temp" "30_node.428" "1" "0.64±0.48" "1"
"183" "temp" "20_node.429" "1" "0.36±0.48" "1"
"184" "temp" "30_node.429" "0" "0.64±0.48" "1"
"185" "temp" "20_node.430" "0" "1.42±0.93" "1"
"186" "temp" "30_node.430" "4" "2.58±0.93" "1"
"187" "temp" "20_node.432" "1" "1.61±1.03" "1"
"188" "temp" "30_node.432" "5" "4.39±1.03" "1"
"189" "temp" "20_node.433" "1" "0.71±0.67" "1"
"190" "temp" "30_node.433" "1" "1.29±0.67" "1"
"191" "temp" "20_node.435" "2" "1.77±1.03" "1"
"192" "temp" "30_node.435" "3" "3.23±1.03" "1"
"193" "temp" "20_node.437" "0" "0.35±0.48" "1"
"194" "temp" "30_node.437" "1" "0.65±0.48" "1"
"195" "temp" "20_node.438" "0" "0.36±0.48" "1"
"196" "temp" "30_node.438" "1" "0.64±0.48" "1"
"197" "temp" "20_node.440" "0" "0.5±0.6" "1"
"198" "temp" "30_node.440" "2" "1.5±0.6" "1"
"199" "temp" "20_node.441" "0" "0.6±0.64" "1"
"200" "temp" "30_node.441" "2" "1.4±0.64" "1"
"201" "temp" "20_node.446" "0" "0.43±0.5" "1"
"202" "temp" "30_node.446" "1" "0.57±0.5" "1"
"203" "temp" "20_node.447" "0" "0.36±0.48" "1"
"204" "temp" "30_node.447" "1" "0.64±0.48" "1"
"205" "temp" "20_node.451" "1" "0.25±0.43" "1"
"206" "temp" "30_node.451" "0" "0.75±0.43" "1"
"207" "temp" "20_node.454" "1" "0.96±0.8" "1"
"208" "temp" "30_node.454" "2" "2.04±0.8" "1"
"209" "temp" "20_node.456" "1" "0.5±0.6" "1"
"210" "temp" "30_node.456" "1" "1.5±0.6" "1"
"211" "temp" "20_node.457" "0" "0.6±0.64" "1"
"212" "temp" "30_node.457" "2" "1.4±0.64" "1"
"213" "temp" "20_node.458" "0" "0.35±0.48" "1"
"214" "temp" "30_node.458" "1" "0.65±0.48" "1"
"215" "temp" "20_node.459" "1" "2.17±1.18" "1"
"216" "temp" "30_node.459" "6" "4.83±1.18" "1"
"217" "temp" "20_node.483" "1" "0.25±0.43" "1"
"218" "temp" "30_node.483" "0" "0.75±0.43" "1"
"219" "temp" "20_node.487" "0" "0.25±0.43" "1"
"220" "temp" "30_node.487" "1" "0.75±0.43" "1"
"221" "temp" "20_node.488" "0" "0.43±0.5" "1"
"222" "temp" "30_node.488" "1" "0.57±0.5" "1"
"223" "temp" "20_node.489" "0" "0.44±0.5" "1"
"224" "temp" "30_node.489" "1" "0.56±0.5" "1"
"225" "temp" "20_node.491" "1" "0.25±0.43" "1"
"226" "temp" "30_node.491" "0" "0.75±0.43" "1"
"227" "temp" "20_node.492" "1" "2.05±1.12" "1"
"228" "temp" "30_node.492" "5" "3.95±1.12" "1"
"229" "temp" "20_node.493" "1" "2.5±1.28" "1"
"230" "temp" "30_node.493" "7" "5.5±1.28" "1"
"231" "temp" "20_node.494" "1" "0.71±0.67" "1"
"232" "temp" "30_node.494" "1" "1.29±0.67" "1"
"233" "temp" "20_node.495" "1" "1.35±0.97" "1"
"234" "temp" "30_node.495" "4" "3.65±0.97" "1"
"235" "temp" "20_node.496" "1" "0.71±0.67" "1"
"236" "temp" "30_node.496" "1" "1.29±0.67" "1"
"237" "temp" "20_node.498" "0" "0.25±0.43" "1"
"238" "temp" "30_node.498" "1" "0.75±0.43" "1"
"239" "temp" "20_node.499" "1" "0.6±0.49" "1"
"240" "temp" "30_node.499" "0" "0.4±0.49" "1"
"241" "temp" "20_node.500" "1" "0.5±0.6" "1"
"242" "temp" "30_node.500" "1" "1.5±0.6" "1"
"243" "temp" "20_node.502" "0" "0.85±0.65" "1"
"244" "temp" "30_node.502" "2" "1.15±0.65" "1"
"245" "temp" "20_node.503" "0" "0.5±0.6" "1"
"246" "temp" "30_node.503" "2" "1.5±0.6" "1"
"247" "temp" "20_node.506" "0" "0.35±0.48" "1"
"248" "temp" "30_node.506" "1" "0.65±0.48" "1"
"249" "temp" "20_node.507" "5" "2.33±1.22" "1"
"250" "temp" "30_node.507" "2" "4.67±1.22" "1"
"251" "temp" "20_node.510" "7" "3.43±1.4" "1"
"252" "temp" "30_node.510" "2" "5.57±1.4" "1"
"253" "temp" "20_node.511" "5" "3.12±1.25" "1"
"254" "temp" "30_node.511" "2" "3.88±1.25" "1"
"255" "temp" "20_node.512" "2" "0.6±0.64" "1"
"256" "temp" "30_node.512" "0" "1.4±0.64" "1"
"257" "temp" "20_node.513" "1" "0.44±0.5" "1"
"258" "temp" "30_node.513" "0" "0.56±0.5" "1"
"259" "temp" "20_node.514" "1" "0.68±0.66" "1"
"260" "temp" "30_node.514" "1" "1.32±0.66" "1"
"261" "temp" "20_node.515" "2" "1.31±0.83" "1"
"262" "temp" "30_node.515" "1" "1.69±0.83" "1"
"263" "temp" "20_node.516" "1" "0.43±0.5" "1"
"264" "temp" "30_node.516" "0" "0.57±0.5" "1"
"265" "temp" "20_node.517" "0" "0.25±0.43" "1"
"266" "temp" "30_node.517" "1" "0.75±0.43" "1"
"267" "temp" "20_node.518" "0" "0.68±0.66" "1"
"268" "temp" "30_node.518" "2" "1.32±0.66" "1"
"269" "temp" "20_node.520" "1" "0.43±0.5" "1"
"270" "temp" "30_node.520" "0" "0.57±0.5" "1"
"271" "temp" "20_node.521" "1" "0.25±0.43" "1"
"272" "temp" "30_node.521" "0" "0.75±0.43" "1"
"273" "temp" "20_node.522" "1" "0.25±0.43" "1"
"274" "temp" "30_node.522" "0" "0.75±0.43" "1"
"275" "temp" "20_node.523" "1" "0.79±0.69" "1"
"276" "temp" "30_node.523" "1" "1.21±0.69" "1"
