PHYLO-order	NAME(rpoB-database-taxonomy)	ASV	Phyllo-Curated-Taxonomy	Class	Order	Family	Genus
121	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1268	1268	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
122	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-295	295	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
123	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1330	1330	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
124	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-1193	1193	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
125	Rhizobiales-ASV-744	744	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
126	Rhizobiales-ASV-1217	1217	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
127	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-128	128	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
128	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-621	621	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
129	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-712	712	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
130	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-33	33	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
131	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1393	1393	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
132	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-109	109	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
133	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-817	817	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
134	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-870	870	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
135	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-651	651	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
136	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-700	700	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
137	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-64	64	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
138	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-352	352	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
139	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-185	185	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
140	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-72	72	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
141	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-338	338	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
142	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-656	656	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
143	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-587	587	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
144	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-871	871	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
145	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-842	842	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
