"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"252" 100 100 100 99 54 54 51
"253" 100 100 100 77 20 17 7
"254" 100 100 100 76 20 15 12
"255" 100 100 100 100 70 70 54
"256" 100 100 100 100 100 100 100
"257" 100 100 100 67 15 15 12
"258" 100 100 100 98 95 95 90
"259" 100 100 100 91 41 28 22
"260" 100 100 100 79 53 15 15
"261" 100 100 100 90 47 16 4
"262" 100 100 100 100 98 98 70
"263" 100 100 100 99 93 93 92
"264" 100 100 100 99 62 62 60
"265" 100 100 100 100 100 100 92
"266" 100 100 100 100 100 100 88
"267" 100 100 100 85 83 51 14
"268" 100 100 100 81 32 32 30
"269" 100 100 100 96 85 30 17
"270" 100 100 100 97 83 83 38
"271" 100 100 100 94 56 53 17
"272" 100 100 100 97 83 83 77
"273" 100 100 100 99 89 88 30
"274" 100 100 100 100 91 91 72
"275" 100 100 100 86 14 7 4
"276" 100 100 100 98 81 81 78
"277" 100 100 100 99 87 79 51
"278" 100 100 100 98 78 78 70
"279" 100 100 100 100 100 100 100
"280" 100 100 100 86 84 44 30
"281" 100 100 100 27 24 14 14
"282" 100 100 100 86 27 22 12
"283" 100 100 100 100 100 100 100
"284" 100 100 100 88 32 11 4
"285" 100 100 100 86 48 48 11
"286" 100 100 100 67 21 20 3
"287" 100 100 100 100 100 100 100
"288" 100 100 100 99 74 72 26
"289" 100 100 100 79 75 23 7
"290" 100 100 100 99 78 78 76
"291" 100 100 100 100 100 100 100
"292" 100 100 100 100 97 97 33
"293" 100 100 100 85 41 41 38
"294" 100 100 100 99 93 92 55
"295" 100 100 100 98 71 71 66
"296" 100 100 100 99 54 53 21
"297" 100 100 100 96 22 20 9
"298" 100 100 100 98 82 82 69
"299" 100 100 100 100 100 100 100
"300" 100 100 100 87 54 38 20
"301" 100 100 100 100 72 69 23
"302" 100 100 100 98 98 85 72
"303" 100 100 100 70 28 28 24
"304" 100 100 100 98 35 35 35
"305" 100 100 100 100 77 76 25
