"mean_seq" "max_seq" "min_seq" "seq_or_node" "level" "mother_node" "mother_level"
98.5 99 98 595 56 594 77
104.875 105.75 104 600 56 599 57
115.875 116.75 115 612 56 611 57
120.5 121 120 616 56 615 154
149.5 150 149 645 56 644 69
153.875 154.75 153 648 56 647 57
169.5 170 169 670 56 669 57
178.5 179 178 677 56 675 184
201.5 202 201 697 56 696 87
205.5 206 205 700 56 699 157
208.5 209 208 704 56 703 71
244.875 245.75 244 738 56 737 57
250.5 251 250 747 56 746 188
252.5 253 252 748 56 746 188
297.5 298 297 794 56 793 77
305.5 306 305 799 56 798 71
318.5 319 318 812 56 811 57
320.5 321 320 814 56 813 103
366.5 367 366 858 56 854 153
372.5 373 372 864 56 863 83
375.5 376 375 866 56 865 58
379.5 380 379 871 56 870 57
386.5 387 386 880 56 878 258
388.5 389 388 881 56 877 267
398.5 399 398 890 56 889 251
404.5 405 404 896 56 895 241
406.5 407 406 898 56 897 240
17.75 18.5 17 518 57 517 58
74.75 75.5 74 573 57 572 69
103.9375 104.875 103 599 57 598 70
114.9375 115.875 114 611 57 610 155
152.9375 153.875 152 647 57 646 64
168.75 169.5 168 669 57 665 136
243.9375 244.875 243 737 57 736 71
317.75 318.5 317 811 57 810 104
378.75 379.5 378 870 57 869 218
16.875 17.75 16 517 58 515 64
374.75 375.5 374 865 58 863 83
10.5 11 10 512 64 511 65
151.96875 152.9375 151 646 64 642 71
203.5 204 203 698 64 696 87
235.5 236 235 731 64 730 93
326.5 327 326 819 64 818 88
354.5 355 354 846 64 845 209
15.6875 16.875 14.5 515 64 514 65
9.75 10.5 9 511 65 510 77
14.34375 15.6875 13 514 65 513 66
13.171875 14.34375 12 513 66 504 119
34.5 35 34 535 69 534 80
36.5 37 36 536 69 532 178
44.5 45 44 544 69 543 71
46.5 47 46 546 69 545 80
73.875 74.75 73 572 69 571 70
86.5 87 86 584 69 583 91
92.5 93 92 589 69 588 93
127.5 128 127 627 69 626 70
130.5 131 130 629 69 628 70
134.5 135 134 631 69 622 91
142.5 143 142 638 69 637 70
145.5 146 145 641 69 640 70
148.75 149.5 148 644 69 643 70
158.5 159 158 653 69 652 99
218.5 219 218 713 69 712 90
220.5 221 220 716 69 715 75
222.5 223 222 717 69 715 75
225.5 226 225 721 69 720 70
227.5 228 227 722 69 719 85
232.5 233 232 727 69 726 70
239.5 240 239 734 69 733 76
274.5 275 274 773 69 772 70
277.5 278 277 775 69 774 80
288.5 289 288 784 69 783 70
337.5 338 337 831 69 830 122
350.5 351 350 842 69 841 80
421.5 422 421 918 69 917 80
423.5 424 423 919 69 915 101
427.5 428 427 921 69 912 123
431.5 432 431 924 69 923 115
445.5 446 445 936 69 935 80
462.5 463 462 954 69 953 130
479.5 480 479 971 69 970 90
72.9375 73.875 72 571 70 570 100
102.96875 103.9375 102 598 70 597 71
126.75 127.5 126 626 70 625 71
129.75 130.5 129 628 70 624 83
141.75 142.5 141 637 70 636 82
144.75 145.5 144 640 70 639 80
147.875 148.75 147 643 70 642 71
224.75 225.5 224 720 70 719 85
231.75 232.5 231 726 70 725 98
273.75 274.5 273 772 70 765 173
287.75 288.5 287 783 70 782 80
27.75 28.5 27 527 71 526 72
43.75 44.5 43 543 71 542 81
101.984375 102.96875 101 597 71 596 72
125.875 126.75 125 625 71 624 83
194.5 195 194 691 71 690 83
207.75 208.5 207 703 71 702 99
242.96875 243.9375 242 736 71 735 72
299.5 300 299 795 71 793 77
304.75 305.5 304 798 71 788 178
149.921875 151.96875 147.875 642 71 639 80
26.875 27.75 26 526 72 525 73
100.9921875 101.984375 100 596 72 591 90
241.984375 242.96875 241 735 72 733 76
25.9375 26.875 25 525 73 523 77
221.5 222.5 220.5 715 75 714 114
240.7421875 241.984375 239.5 733 76 728 101
8.875 9.75 8 510 77 509 78
97.75 98.5 97 594 77 593 78
185.5 186 185 682 77 681 78
196.5 197 196 692 77 690 83
24.71875 25.9375 23.5 523 77 522 86
298.5 299.5 297.5 793 77 792 78
7.9375 8.875 7 509 78 508 83
96.875 97.75 96 593 78 592 80
184.75 185.5 184 681 78 679 191
297.25 298.5 296 792 78 791 79
48.5 49 48 547 79 545 80
296.125 297.25 295 791 79 790 136
33.75 34.5 33 534 80 533 81
63.5 64 63 561 80 556 123
95.9375 96.875 95 592 80 591 90
132.5 133 132 630 80 623 90
137.5 138 137 633 80 632 81
190.5 191 190 686 80 685 191
276.75 277.5 276 774 80 764 174
282.5 283 282 779 80 778 81
286.875 287.75 286 782 80 781 81
343.5 344 343 836 80 835 82
349.75 350.5 349 841 80 840 95
420.75 421.5 420 917 80 916 100
435.5 436 435 927 80 926 108
444.75 445.5 444 935 80 934 85
47.5 48.5 46.5 545 80 542 81
147.3359375 149.921875 144.75 639 80 636 82
32.875 33.75 32 533 81 532 178
136.75 137.5 136 632 81 621 93
281.75 282.5 281 778 81 777 82
285.9375 286.875 285 781 81 780 90
45.625 47.5 43.75 542 81 541 82
43.8125 45.625 42 541 82 540 90
280.875 281.75 280 777 82 776 83
342.75 343.5 342 835 82 834 123
144.54296875 147.3359375 141.75 636 82 635 83
6.96875 7.9375 6 508 83 507 84
142.271484375 144.54296875 140 635 83 634 84
279.9375 280.875 279 776 83 762 182
370.5 371 370 862 83 861 88
373.625 374.75 372.5 863 83 860 121
127.8125 129.75 125.875 624 83 623 90
195.5 196.5 194.5 690 83 689 88
5.984375 6.96875 5 507 84 506 86
140.6357421875 142.271484375 139 634 84 619 99
443.875 444.75 443 934 85 933 90
226.125 227.5 224.75 719 85 718 113
4.9921875 5.984375 4 506 86 505 94
23.359375 24.71875 22 522 86 520 94
269.5 270 269 770 86 769 87
268.75 269.5 268 769 87 768 88
202.5 203.5 201.5 696 87 695 108
30.5 31 30 530 88 529 180
194.25 195.5 193 689 88 688 89
267.875 268.75 267 768 88 767 90
325.75 326.5 325 818 88 816 101
369.75 370.5 369 861 88 860 121
193.125 194.25 192 688 89 687 190
42.40625 43.8125 41 540 90 538 124
54.5 55 54 551 90 550 91
84.5 85 84 581 90 580 99
88.5 89 88 585 90 583 91
166.5 167 166 668 90 667 108
198.5 199 198 694 90 693 149
217.75 218.5 217 712 90 711 95
266.9375 267.875 266 767 90 766 115
284.96875 285.9375 284 780 90 761 200
442.9375 443.875 442 933 90 932 99
467.5 468 467 960 90 959 269
478.75 479.5 478 970 90 969 163
98.46484375 100.9921875 95.9375 591 90 590 91
130.15625 132.5 127.8125 623 90 622 91
53.75 54.5 53 550 91 500 183
96.232421875 98.46484375 94 590 91 588 93
87.5 88.5 86.5 583 91 582 103
132.328125 134.5 130.15625 622 91 621 93
237.5 238 237 732 92 730 93
236.5 237.5 235.5 730 93 729 94
94.3662109375 96.232421875 92.5 588 93 587 94
134.5390625 136.75 132.328125 621 93 620 94
3.99609375 4.9921875 3 505 94 504 119
92.68310546875 94.3662109375 91 587 94 586 99
129.26953125 134.5390625 124 620 94 619 99
173.5 174 173 673 94 672 95
235.25 236.5 234 729 94 728 101
315.5 316 315 809 94 808 95
21.9296875 23.359375 20.5 520 94 503 132
172.75 173.5 172 672 95 671 106
216.875 217.75 216 711 95 710 96
314.75 315.5 314 808 95 807 96
348.875 349.75 348 840 95 839 96
215.9375 216.875 215 710 96 709 115
313.875 314.75 313 807 96 806 119
347.9375 348.875 347 839 96 838 99
210.5 211 210 705 98 702 99
230.875 231.75 230 725 98 724 111
66.5 67 66 564 99 563 143
