"Level" "node" "mother_node" "sequences" "PS_median" "PS_max" "PS_min" "bootstrapp"
117 557 556 5 0.986585 0.99024 0.97805 0.325
80 561 556 2 0.99512 0.99512 0.99512 0.87
143 563 562 4 0.981705 0.99512 0.96829 0.155
100 570 569 7 0.99024 1 0.97534 0.3
103 578 577 2 0.98904 0.98904 0.98904 0.06
69 584 583 2 0.99756 0.99756 0.99756 0.57
90 585 583 2 0.99268 0.99268 0.99268 0.52
94 587 586 17 0.99183 1 0.98049 0.045
56 612 611 4 1 1 1 0.97
56 616 615 2 1 1 1 1
99 619 618 33 0.99024 1 0.98293 0.81
186 663 662 16 0.95633 1 0.91644 0.4
182 678 662 2 0.95854 0.95854 0.95854 0.63
182 680 679 2 0.95854 0.95854 0.95854 0.975
78 681 679 3 0.99589 0.99726 0.99315 0.93
88 689 688 5 0.99315 0.99726 0.99178 1
90 694 693 2 0.99268 0.99268 0.99268 0.47
108 695 693 5 0.9878 1 0.97275 0.825
56 704 703 2 1 1 1 0.83
153 708 707 2 0.9561 0.9561 0.9561 0.345
96 710 709 5 0.99146 0.99756 0.99024 0
114 714 709 28 0.98638 1 0.97548 0
174 764 763 13 0.962195 0.99756 0.94146 0.345
82 777 776 4 0.99634 0.99756 0.99512 0.645
80 782 781 4 0.99512 0.99756 0.99268 0.16
77 793 792 4 0.99589 1 0.99589 0.54
120 805 804 16 0.98493 1 0.96341 0.055
69 842 841 2 0.99756 0.99756 0.99756 0.815
56 866 865 2 1 1 1 0.31
56 898 897 2 1 1 1 1
202 899 897 4 0.947945 0.9726 0.9274 0.345
115 913 912 9 0.98537 0.99756 0.97317 0.265
69 921 912 2 0.99756 0.99756 0.99756 0.97
115 923 922 3 0.98537 0.99756 0.98293 0.255
80 927 926 2 0.99512 0.99512 0.99512 0.58
90 933 932 5 0.99268 0.99756 0.9878 0.815
69 954 953 2 0.99756 0.99756 0.99756 0.975
210 968 967 6 0.9439 0.99756 0.93415 0.82
114 975 974 2 0.98537 0.98537 0.98537 0.76
114 977 976 5 0.98537 0.99756 0.97805 0.12
132 503 502 27 0.97945 1 0.95479 0.31
180 529 502 20 0.95854 0.99756 0.93659 0.01
142 549 548 2 0.97561 0.97561 0.97561 0.03
123 556 555 7 0.98293 0.99512 0.97561 0.18
144 562 555 5 0.987805 0.99512 0.96829 0
101 569 568 8 0.99024 1 0.97534 0.15
104 577 576 3 0.98904 0.99863 0.98767 0.34
90 581 580 2 0.99268 0.99268 0.99268 0.485
91 583 582 4 0.9939 0.99756 0.9878 0.435
99 586 582 18 0.99024 1 0.98049 0.35
114 608 607 2 0.98537 0.98537 0.98537 0.56
57 611 610 5 1 1 0.98049 0.84
154 615 610 3 0.96829 1 0.96458 0.615
100 618 617 34 0.99024 1 0.94823 0.78
197 662 661 18 0.95068 1 0.9122 0.115
191 679 661 5 0.95366 0.99726 0.92683 0.675
147 684 683 2 0.97397 0.97397 0.97397 0.985
89 688 687 6 0.99315 0.99726 0.94658 0.725
149 693 687 7 0.97317 1 0.95368 0.925
71 703 702 3 0.99726 1 0.99726 0.475
98 705 702 2 0.99041 0.99041 0.99041 0.525
154 707 706 3 0.94878 0.9561 0.93902 0.115
115 709 706 33 0.98638 1 0.97548 0.995
176 763 762 14 0.96098 0.99756 0.93659 0.345
83 776 762 5 0.99512 0.99756 0.99268 0.98
81 781 780 5 0.99512 0.99756 0.99268 0.995
78 792 791 5 0.99589 1 0.99589 0.99
121 804 803 17 0.98493 1 0.96341 0.12
80 841 840 3 0.99512 0.99756 0.99268 0.61
83 862 861 2 0.99452 0.99452 0.99452 0.925
56 864 863 2 1 1 1 0.945
