"Name" "Tree-order" "NodeAss" "MatchAss" "ClaAss" "BootAss" "VAR.SITE" "VAR.TIMEn" "VAR.SSd" "VAR.SPE" "VAR.SITE:TIMEn" "VAR.SITE:SSd" "VAR.TIMEn:SSd" "VAR.SITE:SPE" "VAR.TIMEn:SPE" "VAR.SSd:SPE" "VAR.SITE:TIMEn:SSd" "VAR.SITE:TIMEn:SPE" "VAR.SITE:SSd:SPE" "VAR.TIMEn:SSd:SPE" "VAR.SITE:TIMEn:SSd:SPE" "VAR.Residuals" "pval.SITE" "pval.TIMEn" "pval.SSd" "pval.SPE" "pval.SITE:TIMEn" "pval.SITE:SSd" "pval.TIMEn:SSd" "pval.SITE:SPE" "pval.TIMEn:SPE" "pval.SSd:SPE" "pval.SITE:TIMEn:SSd" "pval.SITE:TIMEn:SPE" "pval.SITE:SSd:SPE" "pval.TIMEn:SSd:SPE" "pval.SITE:TIMEn:SSd:SPE" "pval.Residuals" "padj.SITE" "padj.TIMEn" "padj.SSd" "padj.SPE" "padj.SITE:TIMEn" "padj.SITE:SSd" "padj.TIMEn:SSd" "padj.SITE:SPE" "padj.TIMEn:SPE" "padj.SSd:SPE" "padj.SITE:TIMEn:SSd" "padj.SITE:TIMEn:SPE" "padj.SITE:SSd:SPE" "padj.TIMEn:SSd:SPE" "padj.SITE:TIMEn:SSd:SPE" "padj.Residuals"
"Meth-ASV-427" "41" "498" "1" "A9" "0.32" "0.087558885669052" "0.0265894370681535" "0.00904205450406984" "0.0262035499704976" "0.0196636287036719" "0.0163830385554277" "0.00216790244765814" "0.00683852767534953" "0.00610797071197509" "0.064331562998233" "0.00353831376266305" "0.002148879794732" "0.000159265138805956" "0.0507027465308791" "0.0149079101180754" "0.663656326350756" "2.64060196621072e-05" "0.0179813426031086" "0.164931590803292" "0.467741131091561" "0.0413677609125982" "0.0622994464427534" "0.495418992950165" "0.22679247700314" "0.970073863981812" "0.0369250239558246" "0.384038935608655" "0.497313620014702" "0.853295928653524" "0.0990065385301011" "0.0752031004541683" NA "0.00504354975546248" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-115" "42" "498" "1" "A9" "0.32" "0.423621728362334" "0.00104513544978811" "0.00600951352396508" "0.0410688199954767" "0.000515391987286562" "0.000246369246489492" "0.000543904392404393" "0.00622531406010594" "0.0055316282995494" "0.017703857281574" "0.00325126930957995" "0.000331150394875175" "0.00148208669918806" "0.013583306459484" "0.00415578181805568" "0.474684742719844" "1.50163562036197e-21" "0.57559754327117" "0.180592086904133" "0.0613045351728632" "0.694142553873307" "0.785682607337367" "0.686238865585598" "0.173005615594609" "0.946668139055997" "0.504840646603227" "0.324005458169021" "0.752578458792576" "0.505087222391263" "0.664418813707561" "0.265058265144568" NA "2.86812403489136e-19" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-98" "43" "498" "1" "A9" "0.32" "0.124555261989075" "0.0058927241331702" "0.00930107665993003" "0.111963365607203" "0.000229160970816681" "0.0315156984116444" "0.00344538814868503" "0.00974828326007219" "0.0352728492639853" "0.0585562281990635" "0.000999790330107643" "4.99541756185989e-05" "2.76012698335318e-05" "0.0243394089417203" "0.000199735721622922" "0.583903472917452" "1.52692075587421e-07" "0.231616377571961" "0.133438664115578" "0.000284246444302689" "0.813072235526703" "0.00620049597790045" "0.35986254398004" "0.124527979860025" "0.203468048227976" "0.0312982882202881" "0.621482802843347" "0.912082923363599" "0.934589064268137" "0.432104209827401" "0.82527590132618" NA "2.91641864371974e-05" "1" "1" "0.0542910708618136" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-151" "44" "498" "1" "A9" "0.32" "0.192202829772622" "0.024360364739793" "0.000560616378864825" "0.06120529203595" "0.00613122637914086" "0.0139773587082393" "0.00275741121464169" "0.0282158389354788" "0.0165727176213546" "0.0400552022543444" "3.48126984744622e-08" "0.00356495542882842" "0.0167865865892226" "0.0123199718172868" "0.00438484868543068" "0.576904744626103" "1.53787589426029e-10" "0.0151948443808673" "0.709866534324172" "0.0234430275827088" "0.219676405279175" "0.064747431966539" "0.409764191054899" "0.00909235677087079" "0.662292736350724" "0.136399541232349" "0.99766027405872" "0.348785901760616" "0.0432066665677594" "0.800816868452912" "0.298920091672639" NA "2.93734295803714e-08" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-469" "45" "498" "1" "A9" "0.32" "0.0631414327134648" "0.00184473038334532" "8.21858289186181e-05" "0.0597800479460457" "0.000779068497230243" "0.00134668275258343" "0.0118136046140707" "0.0176123978676467" "0.0504315228855312" "0.0160428143472616" "0.000785013317802661" "0.0043330367498202" "0.0200956578580387" "0.0513433689607379" "0.0182899362660677" "0.682278499011435" "0.000383062972003291" "0.535060729366843" "0.895765277840831" "0.0581423690670473" "0.686752349231618" "0.596052102850325" "0.117803223471163" "0.0566827526366609" "0.111092434408212" "0.76121711410527" "0.68562374404607" "0.342208735527079" "0.041965479439218" "0.104427690719946" "0.0521869584691365" NA "0.0731650276526287" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-11" "46" "498" "1" "A9" "0.32" "0.274066118021209" "0.022067376893313" "0.0122976677249497" "0.0749451803171711" "0.00196973875009197" "0.000918517407532848" "0.000182084417756651" "0.0173128360322651" "0.0193277313303251" "0.0150018744466054" "0.000593219968567391" "0.0100814349274543" "0.0080406346808003" "0.00475301292459239" "0.0149530859557844" "0.523489486201582" "9.46082934130673e-15" "0.0152795442902125" "0.068905693354107" "0.00354336479430508" "0.464435630959334" "0.617206203781163" "0.823835553548668" "0.0312973690559293" "0.511357895788576" "0.663617632346589" "0.687879000926214" "0.0992081793109169" "0.140530616566298" "0.971076273932599" "0.0451396717288373" NA "1.80701840418959e-12" "1" "1" "0.67678267571227" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-82" "47" "498" "1" "A9" "0.32" "0.0549868349344697" "0.000234248655601444" "0.0590547612576041" "0.10620387216451" "0.000107291745031363" "0.0108769461763602" "0.00224538912089771" "0.0584981789626305" "0.0206568537507907" "0.0548774009863168" "1.83431575715179e-08" "0.00634209818938631" "0.00301023250989805" "0.0173873480307652" "0.00472673335717641" "0.600791791815404" "0.000411373980653344" "0.813672442849171" "0.00025689921587969" "0.000619408652663046" "0.873260530442763" "0.109819005311954" "0.465939910872162" "0.000273916458519671" "0.556546063944085" "0.0485492689098647" "0.998335730841239" "0.221227226897829" "0.398710893814326" "0.658219678666089" "0.29062108943223" NA "0.0785724303047888" "1" "0.0490677502330209" "0.118307052658642" "1" "1" "1" "0.0523180435772572" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-13" "48" "498" "1" "A9" "0.32" "0.433726544573011" "0.0218275561228784" "0.00676547941801818" "0.0293782045111171" "0.00179584336245414" "0.0170636820061768" "0.00327727041375439" "0.00704456960376276" "0.0167790690890894" "0.0149128624076848" "0.00117078046173162" "0.00435609528235772" "0.00772664410435172" "0.00752554314391211" "0.00149954667947924" "0.425150308820221" "1.36053913668504e-23" "0.00756106716402651" "0.13363216153112" "0.138456351694801" "0.438326479266811" "0.0178823776273375" "0.295529677225022" "0.125940314092521" "0.468029981805758" "0.544013942891583" "0.53131262880352" "0.228104679040395" "0.109144859383995" "0.863515019583084" "0.478740641261842" NA "2.59862975106843e-21" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-406" "49" "498" "1" "A9" "0.32" "0.0835058883570108" "0.0248045929488658" "0.00019993369295527" "0.0306040039727039" "0.0187237054649071" "0.00416241062904024" "0.0006543378872927" "0.0136620810613608" "0.0118940779296739" "0.0500773726982954" "0.000672030767102204" "0.0038089618511291" "0.00101768551185377" "0.00824595747576589" "0.000455787561726739" "0.747511172190316" "0.00010242544339391" "0.0310196136005181" "0.845224385354545" "0.443937787400165" "0.0604342930976509" "0.373708449296669" "0.724008419585116" "0.10815650350379" "0.891312245840475" "0.15224890072878" "0.720458058653563" "0.394745481458955" "0.659712212540332" "0.953247425651782" "0.768204981531829" NA "0.0195632596882369" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-108" "51" "498" "1" "A9" "0.32" "0.130787176865211" "0.00752067339028759" "0.0452149505686113" "0.121750679280778" "0.00411569747672742" "0.00934482643396158" "0.00511305044865724" "0.000266606748465289" "0.029959875155991" "0.0402596090603008" "3.04341714094511e-05" "0.00276615874891046" "1.16165465336851e-05" "0.0150227609340437" "0.000860490477398031" "0.586975393692713" "8.59746315583892e-08" "0.178003549179597" "0.00114634631934326" "0.000125967139291294" "0.318355829011854" "0.133545504734564" "0.266256753539701" "0.799201027475562" "0.301209066892077" "0.141701354237627" "0.931501750387967" "0.413062783721094" "0.957648269228305" "0.722034181535647" "0.647749184476466" NA "1.64211546276523e-05" "1" "0.218952146994563" "0.0240597236046372" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
