"node" "level" "X" "Y" "pVAR" "sVAR" "meanBC" "sdBC" "meanSlope" "sdSlope"
"28" 773 69 -271.629132031681 -90.4726733976385 8.65462855811855e-05 0.570350774044678 0.797548514954172 0.00797066823323823 9.26250059675124e-05 0.000163191319419381
"29" 533 81 137.687957467053 237.239365132667 8.50779295571198e-05 0.539833873494143 0.586809175044206 0.00705445924732749 8.81630315665347e-05 0.000143795974439731
"30" 559 115 198.457492905811 135.494330174882 0.00112893113168205 0.0883224295247018 0.918585393521719 0.00674137141876533 0.000242891111978635 0.000142461375591887
"31" 589 69 285.110794366686 26.0676990852103 0.0153139610525525 0.00368302382899596 0.959177715988277 0.00886398967106601 0.000486556572348726 0.000166818726432668
"32" 665 136 99.9584182178147 -195.194274064053 0.00529498128551778 0.162470665719295 1.00038428304402 0.00484708324924457 -0.000126030805883816 9.00466880187255e-05
"33" 717 69 -116.086002326962 -261.709247188067 0.000956966295973892 0.508078700140942 0.988332680542069 0.00829875536940643 -0.000116783301877859 0.000176316025670732
"34" 766 115 -220.765924353555 -94.9025639501918 7.73671878414377e-05 0.676406699684416 0.895683954889569 0.00878515223697797 7.60947923911426e-05 0.000182295327431557
"35" 772 70 -269.579320180644 -93.3974310724976 1.60568476489246e-06 0.937188923876996 0.79782713252538 0.0073359297439669 -1.18119460557639e-05 0.000149881396244108
"36" 775 69 -275.656342536701 -77.3386760895817 0.000225145035718881 0.332980470651653 0.59939990857851 0.00941284071380552 0.000187054388247486 0.000193189986772685
"37" 784 69 -284.938169044241 -27.8913933268911 4.18666295260458e-05 0.901282323875837 0.995153102611685 0.00515036839221346 1.45249224733855e-05 0.000117016424148507
"38" 807 96 -247.072576734217 78.6869228392777 0.140210760787218 2.63747950677022e-47 0.859880998914829 0.00779648019233613 0.00194633043192889 0.00012964861490994
"39" 558 116 195.723781731202 137.68330060264 0.00095637881180136 0.104681217896416 0.924389174829709 0.0062240087577297 0.000211843730940084 0.000130517472317102
"40" 620 94 229.689008584805 -124.581898104538 0.00516173651223614 1.60635534256381e-06 0.603205336936851 0.00617574561161261 0.000607447063748493 0.000126445789498679
"41" 664 144 88.6200827067839 -191.818067295661 0.00529498128551778 0.162470665719295 1.00038428304402 0.00484708324924457 -0.000126030805883816 9.00466880187255e-05
"42" 715 75 -109.540278236656 -258.009723545133 0.000951267023224994 0.265545241939496 0.965321876733914 0.00779070140435756 -0.000179314734271733 0.000160985175335993
"43" 765 173 -169.979422461699 -65.8808465305895 3.39414033989052e-05 0.712610917190988 0.815160118442401 0.00662085016692559 4.97908493001529e-05 0.000135162392703293
