"Name" "Tree-order" "NodeAss" "MatchAss" "ClaAss" "BootAss" "VAR.tn" "VAR.ssd" "VAR.spe" "VAR.tn:ssd" "VAR.tn:spe" "VAR.ssd:spe" "VAR.tn:ssd:spe" "VAR.Residuals" "pval.tn" "pval.ssd" "pval.spe" "pval.tn:ssd" "pval.tn:spe" "pval.ssd:spe" "pval.tn:ssd:spe" "pval.Residuals" "padj.tn" "padj.ssd" "padj.spe" "padj.tn:ssd" "padj.tn:spe" "padj.ssd:spe" "padj.tn:ssd:spe" "padj.Residuals"
"Meth-ASV-427" "41" "498" "1" "A9" "0.32" "0.00156430719719221" "0.116628679338981" "0.00955382497675572" "0.00108986959886995" "0.0326458537003415" "0.0655853767503904" "0.00171334145849318" "0.771218746978976" "0.711503976839698" "0.00204693184153639" "0.839080244743713" "0.757513759934597" "0.41700137039192" "0.133336036717343" "0.984937978091522" NA "1" "0.370494663318086" "1" "1" "1" "1" "1" NA
"Meth-ASV-115" "42" "498" "1" "A9" "0.32" "0.0136088710948021" "0.00120686344149046" "0.00898870197918309" "0.0171839698057945" "0.0123254877975281" "0.0425678705496191" "0.0234282143299263" "0.880690021001656" "0.308962462955999" "0.76109948086564" "0.874247411688504" "0.253406928814276" "0.812869434418924" "0.357054202918734" "0.615300642360973" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-98" "43" "498" "1" "A9" "0.32" "0.00897993438833573" "0.184286393621963" "0.0838439265135813" "3.36631921127027e-06" "0.0546952557334767" "0.0145604856003839" "0.0446473318347197" "0.608983305988328" "0.320204976451293" "2.39203141706134e-05" "0.0315710812299601" "0.984588487905449" "0.117039730399761" "0.655217600028251" "0.183422853558576" NA "1" "0.00432957686488103" "1" "1" "1" "1" "1" NA
"Meth-ASV-151" "44" "498" "1" "A9" "0.32" "0.0730636107254098" "0.0461342869467921" "0.0559157660285478" "0.000323591829870756" "0.00678489671620264" "0.0419114080050556" "0.0218566290957579" "0.754009810652363" "0.012465174654979" "0.0452622137932265" "0.179279035975798" "0.864864552408991" "0.893311014377555" "0.295106055554888" "0.581323213930184" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-469" "45" "498" "1" "A9" "0.32" "0.0234507110214888" "0.0108976541471548" "0.0988473727190406" "0.0228922964395784" "0.00385859695984452" "0.0771418770393287" "0.0272045620674577" "0.735706929606107" "0.145568224034298" "0.31912071390319" "0.0345670248354633" "0.150377747194834" "0.948713534749007" "0.0775305069768938" "0.477630207221396" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-11" "46" "498" "1" "A9" "0.32" "0.0326300006052315" "0.0502496472505933" "0.0803449493357052" "0.0114954639646229" "0.0233079557634169" "0.0365466388415712" "0.0310369370995614" "0.734388407139298" "0.0867017654731672" "0.0345402965237511" "0.0684397059370381" "0.305866702658829" "0.543838040597093" "0.343967223898375" "0.417727285760855" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-82" "47" "498" "1" "A9" "0.32" "0.000265319670337693" "0.283856906967372" "0.12963882642946" "0.000476247980852288" "0.0126064317593027" "0.0253570283946192" "0.0192862108778906" "0.528513027920166" "0.853966094879622" "7.14153768405928e-08" "0.0017962089856704" "0.805237221554872" "0.656077350455381" "0.360387147527602" "0.48348324132597" NA "1" "1.29261832081473e-05" "0.325113826406342" "1" "1" "1" "1" NA
"Meth-ASV-13" "48" "498" "1" "A9" "0.32" "0.116874597959862" "0.0149668657990882" "0.0599880465751025" "0.00148056296032219" "0.0288937726024618" "0.0145714229946413" "0.00304480845679238" "0.76017992265173" "0.0018888187265187" "0.251289995563794" "0.157563805138012" "0.717044494422262" "0.465399188042207" "0.729005822982586" "0.964876862007283" NA "0.341876189499884" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-406" "49" "498" "1" "A9" "0.32" "0.0746005404537007" "0.0146062373559397" "0.0305304893212599" "1.70324641709989e-07" "0.0227597752272786" "0.0521042359300874" "0.00219686794172936" "0.803201683445363" "0.0143421147256234" "0.27004701405885" "0.465377325820854" "0.996981276870143" "0.590462039070454" "0.230347828153007" "0.979645592675055" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-108" "51" "498" "1" "A9" "0.32" "0.000277873204892635" "0.260303355291575" "0.0582762639919132" "0.000203072172086784" "0.00831096215386797" "0.0461858225540107" "0.00928688798187199" "0.617155762649782" "0.861617845819422" "1.09146397103567e-06" "0.103164063249436" "0.881536383927835" "0.821503454491423" "0.176010295303704" "0.795675573191683" NA "1" "0.000197554978757456" "1" "1" "1" "1" "1" NA
