"node" "level" "X" "Y" "pVAR" "sVAR" "meanBC" "sdBC" "meanSlope" "sdSlope"
"38" 775 69 -275.656342536701 -77.3386760895817 0.00497727142883575 4.0289534280672e-05 0.517872641328569 0.00977147150935572 0.000760214730485634 0.000184911117273781
"39" 784 69 -284.938169044241 -27.8913933268911 0.0103535789441924 9.16542042826093e-08 0.803053660045718 0.00868321216980133 0.000905750508661249 0.000169079308264333
"40" 807 96 -247.072576734217 78.6869228392777 0.169950502785171 3.9258110498493e-76 0.743078067568219 0.00932914613985386 0.00308615205320042 0.000159391044326812
"41" 558 116 195.723781731202 137.68330060264 0.00155066108686857 0.0256774938811169 0.786638611515284 0.00777645473067259 0.000325144478021657 0.00014566787188037
"42" 571 70 262.321411462356 112.176499715393 0.00138416786142254 0.297835215301029 0.982502785497162 0.00672726520125553 -0.000121094399791633 0.000116237971092325
"43" 620 94 229.689008584805 -124.581898104538 0.0565284934610079 5.37317600528616e-46 0.283120957849011 0.00455526646229843 0.0012419192615598 8.59577380000403e-05
"44" 664 144 88.6200827067839 -191.818067295661 0.000589697760293396 0.517974640410719 0.981578513511798 0.00804835589233327 -9.11608758958235e-05 0.000140942685941131
"45" 715 75 -109.540278236656 -258.009723545133 0.00977569062944464 5.46926397679964e-09 0.413425231831502 0.00793260587187757 0.00087406131510476 0.000149488822457741
"46" 765 173 -169.979422461699 -65.8808465305895 0.0242620370946216 5.92630301729862e-20 0.693264727449096 0.00674282986723493 0.00117882356645282 0.000128094197622298
"47" 774 80 -264.154054286644 -77.5417668352269 0.00479531833202118 5.38575242975084e-05 0.523013449186546 0.00972131053343368 0.000744424726163337 0.00018410956161067
"48" 778 81 -268.525834314184 -55.9854115450738 0.0179724064476918 1.94300175801607e-15 0.232778879535827 0.00663353244570311 0.000998834113348444 0.00012514113352957
"49" 783 70 -283.589058569952 -31.1983310356274 0.010666789423484 7.8834178427007e-09 0.794326705169641 0.00776735480917988 0.000854330465421836 0.000147631693311194
"50" 557 117 192.827951512519 140.015253152953 0.00163314040935901 0.0207168576728935 0.795240788199823 0.00729674430039385 0.000317884689075637 0.000137361045848157
"51" 561 80 233.969270063649 145.080910756321 0.000357576555684184 0.704384922731078 0.994641302281537 0.00608812294001164 -4.1850813191943e-05 0.000110227307460973
"52" 570 100 238.243547209947 91.7502164183928 0.000114771541390802 0.688153935537021 0.968532383474598 0.00635000988740785 -4.65331838670903e-05 0.000115914344553236
"53" 584 69 281.300669402501 53.2693475997693 0.0205438787154394 5.29715587203951e-06 0.917536836406279 0.00943422221441402 0.000838019744705038 0.000183072359231009
"54" 585 90 262.11289746835 40.9990119484148 0.00192185230226204 0.199541507279378 0.947682226604045 0.00933633121471226 0.000246036747550773 0.000191639647935661
