"CLx" "strain" "T1" "T2" "day" "Petri" "spot" "X_position" "Y_position" "radius" "av_intensity" "sd_intensity" "av_intensity_back" "sd_intensity_back" "filter"
"58" "B" "E-064" "30" "30" "7" "P01" " 8" "198" "172" "16.0" " 4.08464241" " 3.764823" "-0.43712380" "3.288743" "1"
"59" "A9" "J-009" "30" "30" "7" "P01" "10" "190" "284" "15.0" " 1.64315938" " 3.261151" "-1.03310425" "2.808895" "1"
"60" "A9" "J-028" "30" "30" "7" "P01" "12" "187" "391" "15.0" " 6.54196051" " 4.479232" "-0.93391102" "3.733509" "1"
"61" "A9" "J-045" "30" "30" "7" "P01" "14" "237" "169" "14.5" " 1.24703759" " 3.185857" "-0.31553338" "2.965272" "1"
"62" "A6" "J-059" "30" "30" "7" "P01" "16" "234" "281" "14.5" "-0.99409023" " 2.644353" "-0.86941754" "2.771967" "1"
"63" "A6" "J-073" "30" "30" "7" "P01" "18" "234" "384" "14.5" "-1.49392481" " 3.017813" "-0.85505890" "3.511412" "1"
"64" "A10" "J-076" "30" "30" "7" "P01" "20" "292" "174" "14.0" " 2.60203915" " 3.163670" " 0.07695946" "3.761963" "1"
"65" "A9" "J-087" "30" "30" "7" "P01" "22" "285" "279" "15.0" " 1.83750353" " 3.056283" "-0.65937583" "2.666518" "1"
"66" "Neg" "0" "30" "30" "7" "P01" "24" "282" "382" "14.5" "-0.05494737" " 2.464891" "-0.05020615" "3.107664" "1"
"67" "B" "E-003" "30" "30" "7" "P01" "26" "334" "164" "13.0" "11.02001890" " 3.641558" " 0.43596491" "5.130173" "1"
"68" "A6" "E-020" "30" "30" "7" "P01" "28" "332" "271" "15.0" " 1.33662906" " 2.750176" "-0.74932271" "2.658036" "1"
"69" "A6" "E-030" "30" "30" "7" "P01" "30" "333" "378" "15.0" " 2.12235543" " 4.292504" "-0.92281873" "3.139458" "1"
"70" "A9" "E-010" "30" "30" "7" "P01" "32" "404" "165" "14.0" " 5.59887439" " 3.333645" " 0.09648005" "3.452962" "1"
"71" "A6" "E-025" "30" "30" "7" "P01" "34" "398" "269" "14.5" " 0.44646617" " 2.785119" "-0.36262762" "2.641081" "1"
"72" "A6" "E-041" "30" "30" "7" "P01" "36" "391" "373" "15.0" " 1.71692525" " 3.124196" "-1.50494024" "2.937782" "1"
"73" "A10" "E-061-B" "20" "20" "7" "P02" " 1" "128" "106" "14.0000" "15.54721044" "3.134927" " 0.99801158" " 5.900203" "1"
"74" "A9" "J-002" "20" "20" "7" "P02" " 3" "124" "215" "15.0000" " 8.67315938" "4.039115" "-0.18253320" " 3.500622" "1"
