"V1" "V2" "V3" "V4" "1" "2" "3" "4" "5" "YIELD" "RATE"
"E-009_30_30" "A9" "E-009" "30" "30" "MSH" "MSH-03" "ACSA" "30" "314" 1.22669073875782 0.101856435391444
"E-040_30_30" "A6" "E-040" "30" "30" "SBL" "SBL-04" "FAGR" "20" "333" 1.71299368459829 0.126582679059111
"E-012_30_30" "A9" "E-012" "30" "30" "SBL" "SBL-03" "ACSA" "30" "333" 1.83279311082755 0.0888860445354638
"E-027_30_30" "A9" "E-027" "30" "30" "SBL" "SBL-01" "FAGR" "30" "307" 3.97781140398486 0.0802709948787105
"E-045_30_30" "A2" "E-045" "30" "30" "MSH" "MSH-01" "ACSA" "20" "314" 9.25505697308226 0.100912857710852
"J-048_30_30" "A9" "J-048" "30" "30" "SBL" "SBL-01" "FAGR" "30" "333" 4.46020509555725 0.0881372543835063
"J-064_30_30" "A9" "J-064" "30" "30" "SBL" "SBL-03" "ACSA" "20" "333" 5.6051073332307 0.131720026449381
"J-008_30_30" "A9" "J-008" "30" "30" "SBL" "SBL-02" "ACSA" "30" "333" 5.60446256348004 0.0734424688420326
"J-026_30_30" "A9" "J-026" "30" "30" "SBL" "SBL-04" "FAGR" "20" "364" 3.09724127640873 0.131766888562107
"J-050_20_20" "A6" "J-050" "20" "20" "MSH" "MSH-03" "ACSA" "20" "354" 0.829808694048094 0.0831383738466629
"J-065_20_20" "A6" "J-065" "20" "20" "SBL" "SBL-04" "FAGR" "20" "399" 2.86484597834352 0.0839486771367457
"E-046_20_20" "A9" "E-046" "20" "20" "MSH" "MSH-01" "ACSA" "20" "314" 7.87480036318128 0.0551084879470848
"J-010_20_20" "A9" "J-010" "20" "20" "SBL" "SBL-03" "ACSA" "30" "333" 15.3194067869003 0.0656716104254995
"E-011_20_20" "A9" "E-011" "20" "20" "SBL" "SBL-03" "ACSA" "30" "333" 6.77357303623906 0.0670612550916258
"E-026_20_20" "A9" "E-026" "20" "20" "SBL" "SBL-01" "FAGR" "30" "307" 6.32464426514915 0.0878696015113571
"E-042_20_20" "A10" "E-042" "20" "20" "MSH" "MSH-01" "FAGR" "20" "314" 4.09623926205429 0.0730782609712393
"J-068_20_20" "A1" "J-068" "20" "20" "MSH" "MSH-06" "FAGR" "30" "354" 2.4397236260572 0.141071977744485
"E-046_30_20" "A9" "E-046" "30" "20" "MSH" "MSH-01" "ACSA" "20" "314" 19.3965967001859 0.102081023750171
"J-010_30_20" "A9" "J-010" "30" "20" "SBL" "SBL-03" "ACSA" "30" "333" 16.2828310890486 0.0746844953493965
"E-011_30_20" "A9" "E-011" "30" "20" "SBL" "SBL-03" "ACSA" "30" "333" 9.53840474547202 0.0732478384562871
"E-026_30_20" "A9" "E-026" "30" "20" "SBL" "SBL-01" "FAGR" "30" "307" 6.98199623392646 0.0598523562077068
"J-068_30_20" "A1" "J-068" "30" "20" "MSH" "MSH-06" "FAGR" "30" "354" 2.669824521392 0.162395660787944
"J-031_20_30" "A6" "J-031" "20" "30" "SBL" "SBL-02" "ACSA" "30" "399" 0.879077545553246 0.0918197761433858
"J-050_20_30" "A6" "J-050" "20" "30" "MSH" "MSH-03" "ACSA" "20" "354" 0.72020097519584 0.105246263099871
"E-046_20_30" "A9" "E-046" "20" "30" "MSH" "MSH-01" "ACSA" "20" "314" 11.4745201351401 0.0722514117925864
"E-065_20_30" "A9" "E-065" "20" "30" "SBL" "SBL-04" "FAGR" "30" "364" 2.70506982323986 0.114462575316375
"J-010_20_30" "A9" "J-010" "20" "30" "SBL" "SBL-03" "ACSA" "30" "333" 7.7263062733508 0.135899108501848
"E-011_20_30" "A9" "E-011" "20" "30" "SBL" "SBL-03" "ACSA" "30" "333" 6.87953520951337 0.0911434123364431
"E-026_20_30" "A9" "E-026" "20" "30" "SBL" "SBL-01" "FAGR" "30" "307" 5.21376004022195 0.0920460690575633
"E-042_20_30" "A10" "E-042" "20" "30" "MSH" "MSH-01" "FAGR" "20" "314" 3.43201836760751 0.139850360114677
"J-036_20_30" "A9" "J-036" "20" "30" "SBL" "SBL-02" "ACSA" "30" "364" 10.0595294183001 0.11817816540216
"J-054_20_30" "A10" "J-054" "20" "30" "MSH" "MSH-06" "FAGR" "30" "427" 7.46559874536996 0.0999632135374182
"J-050_30_30" "A6" "J-050" "30" "30" "MSH" "MSH-03" "ACSA" "20" "354" 0.96142873193857 0.0647755446408763
"E-046_30_30" "A9" "E-046" "30" "30" "MSH" "MSH-01" "ACSA" "20" "314" 7.64943820617828 0.163144379512981
"E-065_30_30" "A9" "E-065" "30" "30" "SBL" "SBL-04" "FAGR" "30" "364" 2.31617771624775 0.143487668669755
"J-010_30_30" "A9" "J-010" "30" "30" "SBL" "SBL-03" "ACSA" "30" "333" 7.40446760587252 0.127283789391151
"E-011_30_30" "A9" "E-011" "30" "30" "SBL" "SBL-03" "ACSA" "30" "333" 5.23340323044981 0.111851568494545
"E-026_30_30" "A9" "E-026" "30" "30" "SBL" "SBL-01" "FAGR" "30" "307" 4.73787427864972 0.105414510939918
"E-042_30_30" "A10" "E-042" "30" "30" "MSH" "MSH-01" "FAGR" "20" "314" 2.29069786911419 0.129902858642307
"J-036_30_30" "A9" "J-036" "30" "30" "SBL" "SBL-02" "ACSA" "30" "364" 7.58732292849478 0.0912811862172711
"J-029_20_20" "A6" "J-029" "20" "20" "SBL" "SBL-04" "FAGR" "20" "364" 1.31419545764943 0.100475752688982
"J-047_20_20" "A2" "J-047" "20" "20" "MSH" "MSH-03" "ACSA" "30" "386" 10.6892366110424 0.130204264450069
"J-062_20_20" "A6" "J-062" "20" "20" "MSH" "MSH-01" "FAGR" "20" "386" 1.24753155672433 0.108725669913215
"J-043_20_20" "B" "J-043" "20" "20" "MSH" "MSH-01" "FAGR" "20" "427" 13.4626492019058 0.117919800385362
